coords,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
"(-166.25, 54.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04678813232758537
"(-166.25, 59.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36260560309802825
"(-166.25, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734782976170264
"(-166.25, 61.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007681929622945464
"(-166.25, 61.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10896112586040692
"(-166.25, 64.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002138388523999199
"(-166.25, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7351805041378494
"(-166.25, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9501617450847121
"(-166.25, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-166.25, 66.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415521128078069
"(-166.25, 68.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40483880826843877
"(-166.25, 68.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33306319763954445
"(-165.75, 54.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22132754883905026
"(-165.75, 59.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17889862015866104
"(-165.75, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4013992579232225
"(-165.75, 61.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38212761159109115
"(-165.75, 61.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254068267783681
"(-165.75, 62.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17322652617196505
"(-165.75, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9313809398147828
"(-165.75, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-165.75, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-165.75, 66.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6807882560535347
"(-165.75, 68.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8032103435786091
"(-165.75, 68.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7169706283042919
"(-165.25, 54.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07428837711015633
"(-165.25, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037473537222265804
"(-165.25, 60.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24270706184188753
"(-165.25, 61.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792369204101155
"(-165.25, 61.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-165.25, 62.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8314560550463799
"(-165.25, 62.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023059880489003825
