"","lags","Region.1","Region.2","Region.3","Region.4","Region.5","Region.6","Region.7","Region.8","Region.9","Region.10"
"44",14,0.0102659777287321,-0.0139993544473985,-0.0096605810987623,0.0166026879948172,-0.00866099151945353,0.0314526574467016,-0.00506102027864774,0.0235269709616189,0.0206656062505914,0.0456844595073895
"45",15,0.0249361345486225,0.0235667746783937,0.0219749306300809,0.0235705087654624,0.019540170806068,0.0166661264125757,-0.00785757149835611,0.0453829261722861,0.0193650744241788,0.0396375029816102
"46",16,0.0377603443274429,0.056220162360496,0.0517015452138953,0.0269255807356897,0.0453778140138569,0.00671844741497106,-0.0181992803457878,0.0522639211834602,0.0191137117469417,0.00145000325428155
"47",17,0.0299862086135511,0.0435302875249975,0.0516913555556505,0.0242501932905648,0.063379291479049,0.00343341711580358,-0.0188142045654314,0.0311032403407808,0.026454702930188,-0.0324852634566001
"48",18,0.0031662649689614,0.0188553359860765,0.0211823402922506,0.0083006815761541,0.051751057159625,0.00241414173504016,-0.0105399199669316,0.0151987492276329,0.0382057273733309,-0.0289051749692469
"49",19,-0.0171793666727411,-0.00559595674903393,-0.0181379607646115,-0.0023268525850637,0.0252542712568626,0.00577668554882749,-0.0176659311798028,0.0118705419911047,0.0356468299226653,-0.0149124022896274
"50",20,-0.0307973330413446,-0.0255021948065396,-0.0383673525108154,2.58716386582573e-05,0.0106056707736432,0.00717586055264334,-0.0243154379622309,0.00337801465028351,0.0252036819318245,-0.0149940254550536
"51",21,-0.00912813295112515,-0.0403273395454201,-0.0465983541185784,-0.00119913685217719,-0.000885486871529081,0.00745325520642393,-0.0252187888450039,-0.0158252768171147,0.0259640916619175,-0.0284352140490712
"52",22,0.00971456686518018,-0.0398276434570449,-0.0424684166660353,0.00837693591846844,-0.0259728976277974,0.00905061824269028,-0.0209295509571827,-0.0265126293182968,0.0268527269469847,-0.0355864273644582
"53",23,-0.00161300281868841,-0.0350544669007461,-0.0380212636152384,0.0233402174500532,-0.0486118122963962,0.0134560498912863,-0.015721410944382,-0.0198711281163696,0.0153020594068816,-0.0172003570159727
"54",24,-0.0280068285063745,-0.0364375470072893,-0.0404071851047141,0.0347667650939261,-0.0639813512008082,0.0170965633865267,-0.0162946080651888,-0.00526450448331684,-0.00629661251640489,0.0234385400671677
"55",25,-0.0469089661213604,-0.0332504107602049,-0.0408196222623468,0.0403306932708677,-0.0540117182462418,0.0268603702507324,-0.026387074087111,0.00760316878760404,-0.0302571213228769,0.0482806917690007
"56",26,-0.0408651612302003,-0.0351334220462379,-0.0305901776372537,0.0418162772569391,-0.0261371070179882,0.0206142155004354,-0.0304382402473327,0.0269710924465479,-0.0556009510478352,0.0532964694025966
"57",27,-0.0386373230131139,-0.0333243222739647,-0.025192215821585,0.0363607974593913,-0.0237201639606414,0.0159023212028134,-0.0187134076432418,0.0381248500950842,-0.0714293753120722,0.053576341982455
"58",28,-0.0447444282646351,-0.0402838441562374,-0.0277192557116874,0.0151302251363902,-0.0446052840067154,0.00189288516184272,-0.00144958562033231,0.0386730556014175,-0.0868730997467855,0.0395559077657153
"59",29,-0.0655396716823343,-0.0493626513193353,-0.0248409634475782,-0.00223659623628769,-0.0523441522051453,-0.0178128103884572,0.00743570613770626,0.0299342403817667,-0.0954067363009628,0.0157202097572342
